Name,Boiling.Point,A,B,C
N-PROPYL ACETATE,374.8,16.2291,2980.47,-64.15
N-PROPYL AMINE,321.8,15.9957,2551.72,-49.15
N-PROPYL FORMATE,353.7,15.7671,2593.95,-69.69
N-PROPYL PROPIONATE,395.7,16.8641,3558.18,-47.86
N-PROPYLBENZENE,432.4,16.0062,3433.84,-66.01
N-PROPYLCYCLOHEXANE,429.9,15.8567,3363.62,-65.21
N-PROPYLCYCLOPENTANE,404.1,15.8969,3187.67,-59.99
N-TETRADECANE,526.7,344.2100,-79.38,15.97
N-TETRADECYCLOPENT,599.0,16.2632,4439.38,-138.10
N-TRIDECANE,508.6,332.1000,-74.45,13.97
N-TRIDECYLCYCLOPENTANE,598.6,16.2270,4483.13,-131.30
N-UNDECENE,469.1,16.0541,3614.07,-85.45
N-VALERIC ACID,458.7,17.6306,4092.15,-86.55
O-CRESOL,464.2,15.9148,3305.37,-108.00
O-DICHLOROBENZENE,453.6,16.2799,3798.23,-59.84
O-ETHYLPHENOL,477.7,17.9610,4928.36,-45.75
O-TOLUIDINE,473.3,16.7834,4072.58,-72.15
OXYGEN,90.2,15.4075,734.55,-6.45
O-XYLENE,417.6,16.1156,3395.57,-59.46
OZONE,161.3,15.7427,1272.18,-22.16
P-CRESOL,475.1,16.1989,3479.39,-111.30
P-DICLOROBENZENE,447.3,16.1135,3626.83,-64.64
PERFLUOROBENZENE,353.4,16.1940,2827.53,-57.66
PERFLUOROCYCLOHEXANE,325.7,13.9087,1374.07,-136.80
PERFLUOROETHANE,197.5,15.8800,1574.60,-27.22
PERFLUOROETHANE,194.9,15.6422,1512.94,-26.94
PERFLUOROMETHYLCYCLOHEXANE,349.5,15.7130,2610.57,-61.93
PERFLUORO-N-HEPTANE,355.7,15.9747,2719.68,-64.50
PERFLUORO-N-HEXANE,330.3,15.8307,2488.59,-59.73
P-ETHYLPHENOL,491.0,19.0905,5579.62,-44.15
PHENETOLE,443.0,16.1673,3473.20,-78.66
PHENOL,455.0,16.4270,3490.89,-98.59
PHOSGENE,280.8,15.7565,2167.31,-43.15
PHTHALIC ANHYDRIDE,560.0,15.9984,4467.01,-83.15
PIPERIDINE,379.7,16.1004,3015.46,-61.15
PROPADIENE,238.7,13.1563,1054.72,-77.08
PROPANE,231.1,15.7260,1872.46,-25.16
PROPIONALDEHYDE,321.0,16.2315,2659.02,-44.15
PROPIONIC ACID,414.0,17.3789,3723.42,-67.48
PROPIONITRILE,370.5,15.9571,2940.86,-55.15
PROPYL CHLORIDE,319.6,15.9594,2581.48,-42.95
PROPYLENE,225.4,15.7027,1807.53,-26.15
PROPYLENE OXIDE,307.5,15.3227,2107.58,-64.87
P-TOLUIDINE,473.8,16.6968,4041.04,-72.15
P-XYLENE,411.5,16.0963,3346.65,-57.84
PYRIDINE,388.5,16.0910,3095.13,-61.15
PYRROLE,403.0,16.7966,3457.47,-62.73
PYRROLIDINE,359.7,15.9444,2717.03,-67.90
SEC-BUTYLBENZENE,446.5,15.9999,3544.19,-68.10
SEC-BUTYLCYCLOHEXANE,452.5,15.8670,3524.57,-70.78
SILICON TETRACHLORIDE,330.4,15.8019,2634.16,-43.15
STYRENE,418.3,16.0193,3328.57,-63.72
SULFUR DIOXIDE,263.0,16.7680,2302.35,-35.97
SULFUR HEXAFLUORIDE,209.3,19.3785,2524.78,-11.16
SULFUR TRIOXIDE,318.0,20.8403,3995.70,-36.66
TERT-BUTANOL,355.6,16.8548,2658.29,-95.50
TERT-BUTYL CHLORIDE,324.0,15.8121,2567.15,-44.15
TERT-BUTYLBENZENE,442.3,15.9300,3462.28,-69.87
TERT-BUTYLCYCLOHEXANE,444.7,15.7884,3457.85,-67.04
TETRACHLOROETHYLENE,394.3,16.1642,3259.29,-52.15
TETRAHYDROFURAN,339.1,16.1069,2768.38,-46.90
THIOPHENE,357.3,16.0243,2869.07,-51.80
TOLUENE,383.8,16.0137,3096.52,-53.67
"TRANS-1,2-DIMETHYLCYCLOHEXANE",396.6,15.7337,3117.43,-54.02
"TRANS-1,2-DIMETHYLCYCLOPENTANE",365.0,15.7594,2861.53,-51.46
"TRANS-1,3-DIMETHYLCYCLOHEXANE",397.6,15.7371,3093.95,-57.76
"TRANS-1,4-DIMETHYLCYCLOHEXANE",392.5,15.6984,3063.44,-54.57
TRANS-2-BUTENE,274.0,15.8177,2212.32,-33.15
TRANS-2-HEXENE,341.0,15.8727,2701.72,-48.62
TRANS-2-OCTENE,398.1,15.8554,3134.97,-58.00
TRANS-2-PENTENE,309.5,15.9011,2495.97,-40.18
TRANS-3-HEXENE,340.3,15.9288,2718.68,-47.77
TRANS-DECALIN,460.4,15.7989,3610.66,-66.49
TRIBUTYLAMINE,486.6,312.4800,0.00,0.00
TRICHLOROETHYLENE,360.4,16.1827,3028.13,-43.15
TRICHLOROFLUOROMETHANE,297.0,15.8516,2401.61,-36.30
TRIETHYLAMINE,362.7,15.8853,2882.38,-51.15
